condition,avalanche_size
classical,4652
classical,1
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,3
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,2
classical,4652
classical,1
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,4652
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4680
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,1
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,4654
classical,6
classical,4654
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,2
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,4637
classical,9
classical,4637
classical,4637
classical,1
classical,4637
classical,4637
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,14
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,1
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4712
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,2
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,4704
classical,9
classical,4704
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,7
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,4639
classical,10
classical,4639
classical,4639
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,1
classical,2
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4672
classical,4722
classical,1
classical,4722
classical,4722
classical,4722
classical,4722
classical,4722
classical,4722
classical,4722
classical,4722
classical,4722
