condition,size,alpha
beggs_cortical,2,1.5
beggs_cortical,411,1.5
beggs_cortical,13,1.5
beggs_cortical,6,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,55,1.5
beggs_cortical,6,1.5
beggs_cortical,11,1.5
beggs_cortical,1,1.5
beggs_cortical,1104,1.5
beggs_cortical,35,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,2,1.5
beggs_cortical,4,1.5
beggs_cortical,3,1.5
beggs_cortical,1,1.5
beggs_cortical,6,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,2,1.5
beggs_cortical,3,1.5
beggs_cortical,21,1.5
beggs_cortical,1,1.5
beggs_cortical,4,1.5
beggs_cortical,6,1.5
beggs_cortical,1,1.5
beggs_cortical,6,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,382,1.5
beggs_cortical,846,1.5
beggs_cortical,27,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,10,1.5
beggs_cortical,3,1.5
beggs_cortical,1,1.5
beggs_cortical,3,1.5
beggs_cortical,1,1.5
beggs_cortical,121,1.5
beggs_cortical,1,1.5
beggs_cortical,8,1.5
beggs_cortical,2,1.5
beggs_cortical,4,1.5
beggs_cortical,4,1.5
beggs_cortical,1,1.5
beggs_cortical,1080,1.5
beggs_cortical,19,1.5
beggs_cortical,273,1.5
beggs_cortical,90,1.5
beggs_cortical,6,1.5
beggs_cortical,163,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,2,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,34,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,4,1.5
beggs_cortical,1,1.5
beggs_cortical,25,1.5
beggs_cortical,1,1.5
beggs_cortical,5815,1.5
beggs_cortical,19,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,29,1.5
beggs_cortical,11,1.5
beggs_cortical,13,1.5
beggs_cortical,19,1.5
beggs_cortical,1,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,53,1.5
beggs_cortical,7,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,2,1.5
beggs_cortical,2,1.5
beggs_cortical,13,1.5
beggs_cortical,7,1.5
beggs_cortical,78,1.5
beggs_cortical,3,1.5
beggs_cortical,1,1.5
beggs_cortical,12,1.5
beggs_cortical,17,1.5
beggs_cortical,5,1.5
beggs_cortical,19,1.5
beggs_cortical,3,1.5
beggs_cortical,4,1.5
beggs_cortical,3,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,7,1.5
beggs_cortical,2,1.5
beggs_cortical,4,1.5
beggs_cortical,117,1.5
beggs_cortical,1,1.5
beggs_cortical,2,1.5
beggs_cortical,16,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,202,1.5
beggs_cortical,27,1.5
beggs_cortical,7,1.5
beggs_cortical,60,1.5
beggs_cortical,25,1.5
beggs_cortical,1,1.5
beggs_cortical,86,1.5
beggs_cortical,4,1.5
beggs_cortical,26,1.5
beggs_cortical,92,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,3,1.5
beggs_cortical,30,1.5
beggs_cortical,51,1.5
beggs_cortical,1,1.5
beggs_cortical,4,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,2,1.5
beggs_cortical,306,1.5
beggs_cortical,2,1.5
beggs_cortical,4,1.5
beggs_cortical,11,1.5
beggs_cortical,2,1.5
beggs_cortical,1255,1.5
beggs_cortical,709,1.5
beggs_cortical,1,1.5
beggs_cortical,3,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,6,1.5
beggs_cortical,4,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,118,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,3,1.5
beggs_cortical,4856,1.5
beggs_cortical,1,1.5
beggs_cortical,9,1.5
beggs_cortical,17,1.5
beggs_cortical,1,1.5
beggs_cortical,13,1.5
beggs_cortical,2,1.5
beggs_cortical,7,1.5
beggs_cortical,7,1.5
beggs_cortical,4,1.5
beggs_cortical,1,1.5
beggs_cortical,36,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,5,1.5
beggs_cortical,9,1.5
beggs_cortical,1,1.5
beggs_cortical,4,1.5
beggs_cortical,1,1.5
beggs_cortical,7,1.5
beggs_cortical,1,1.5
beggs_cortical,10,1.5
beggs_cortical,2,1.5
beggs_cortical,249,1.5
beggs_cortical,1,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,176,1.5
beggs_cortical,66,1.5
beggs_cortical,1,1.5
beggs_cortical,8,1.5
beggs_cortical,29,1.5
beggs_cortical,5,1.5
beggs_cortical,4,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,94,1.5
beggs_cortical,100,1.5
beggs_cortical,7,1.5
beggs_cortical,2,1.5
beggs_cortical,2,1.5
beggs_cortical,13,1.5
beggs_cortical,94,1.5
beggs_cortical,78,1.5
beggs_cortical,20,1.5
beggs_cortical,7,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,97,1.5
beggs_cortical,6,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,8,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,4,1.5
beggs_cortical,10,1.5
beggs_cortical,8,1.5
beggs_cortical,1,1.5
beggs_cortical,12,1.5
beggs_cortical,1,1.5
beggs_cortical,2,1.5
beggs_cortical,15,1.5
beggs_cortical,8,1.5
beggs_cortical,43,1.5
beggs_cortical,8,1.5
beggs_cortical,5,1.5
beggs_cortical,1,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,1372,1.5
beggs_cortical,2,1.5
beggs_cortical,85,1.5
beggs_cortical,7,1.5
beggs_cortical,23,1.5
beggs_cortical,4,1.5
beggs_cortical,5,1.5
beggs_cortical,3,1.5
beggs_cortical,1,1.5
beggs_cortical,12,1.5
beggs_cortical,1,1.5
beggs_cortical,1,1.5
beggs_cortical,7,1.5
beggs_cortical,1,1.5
beggs_cortical,282,1.5
beggs_cortical,471,1.5
beggs_cortical,137,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,194,1.5
beggs_cortical,3,1.5
beggs_cortical,899,1.5
beggs_cortical,755,1.5
beggs_cortical,46,1.5
beggs_cortical,2,1.5
beggs_cortical,2,1.5
beggs_cortical,45,1.5
beggs_cortical,2,1.5
beggs_cortical,1,1.5
beggs_cortical,5,1.5
beggs_cortical,245,1.5
beggs_cortical,10,1.5
beggs_cortical,5,1.5
beggs_cortical,1,1.5
beggs_cortical,6,1.5
beggs_cortical,10000,1.5
beggs_cortical,1,1.5
beggs_cortical,4,1.5
beggs_cortical,66,1.5
beggs_cortical,14,1.5
beggs_cortical,10,1.5
beggs_cortical,11,1.5
beggs_cortical,2,1.5
beggs_cortical,2,1.5
beggs_cortical,27,1.5
beggs_cortical,27,1.5
beggs_cortical,56,1.5
beggs_cortical,132,1.5
